"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4","2","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C2,C3","2","100nF","","","","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~"
"C5","1","100uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"J1","1","12V","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
"J2","1","Joystick","","","","Connector_JST:JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical","~"
"J3","1","USB_A","","","","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","~"
"J4","1","pro_micro_usb","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"Led1","1","WS2812B2","","","","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","~"
"Pot1,Pot2,Pot3","3","10K","","","","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","~"
"R1","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"SW1","1","BTN1","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
"SW2","1","BTN2","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
"SW3","1","BTN3","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
"SW4","1","RotaryEncoder_Switch","","","","user:rotary_connector","~"
"SW5","1","BTN4","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
"SW6","1","SW_DPDT_x2","","","","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","~"
"U1","1","AMS1117-5.0","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2","1","pro_micro","","","","user:pro_micro",""
